id,thematic_lot,title,subtheme,subsubtheme,download_url
13161,EMODnet Chemistry,Heavy metals - Lead  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/LeadCountsPerYear_and_Data_2024.rar
14089,EMODnet Chemistry,Heavy metals - Lead (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/LeadCountsAllYears_and_Data_2024.rar
13159,EMODnet Chemistry,Heavy metals - Mercury  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/MercuryCountsPerYear_and_Data_2024.rar
14087,EMODnet Chemistry,Heavy metals - Mercury (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/Mercury_CountsAllYears_and_Data_2024.rar
13162,EMODnet Chemistry,Heavy metals - Nickel  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/Nickel(measurementscount).zip
14090,EMODnet Chemistry,Heavy metals - Nickel (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/NickelCountsAllYears_and_Data_2024.rar
13163,EMODnet Chemistry,Hydrocarbons (PAH) - Anthracene  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/Anthracene(measurementscount)(1).zip
14094,EMODnet Chemistry,Hydrocarbons (PAH) - Anthracene (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/AnthraceneCountsAllYears_and_Data_2024.rar
14092,EMODnet Chemistry,Hydrocarbons (PAH) - Benzo(a)pyrene (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/BenzoCountsAllYears_and_Data_2024.rar
13165,EMODnet Chemistry,Hydrocarbons (PAH) - Benzo(a)pyrene (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/BenzoCountsPerYear_and_Data_2024.rar
13164,EMODnet Chemistry,Hydrocarbons (PAH) - Fluoranthene  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/FluorantheneCountsPerYear_and_Data_2024.rar
14091,EMODnet Chemistry,Hydrocarbons (PAH) - Fluoranthene (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/FluorantheneCountsAllYears_and_Data_2024.rar
14093,EMODnet Chemistry,Hydrocarbons (PAH) - Naphthalene (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/NaphthaleneCountsAllYears_and_Data_2024.rar
13166,EMODnet Chemistry,Hydrocarbons (PAH) - Naphthalene (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/NaphthaleneCountsPerYear_and_Data_2024.rar
14085,EMODnet Chemistry,Pesticides and biocides - DDT-DDE-DDD (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/AllDDTCountsAllYears_and_Data_2024.rar
13155,EMODnet Chemistry,Pesticides and biocides - DDT-DDE-DDD (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/AllDDTCountsPerYear_and_Data_2024.rar
13156,EMODnet Chemistry,Pesticides and biocides - Hexachlorobenzene  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/HexachlorobenzeneCountsPerYear_and_Data_2024.rar
14086,EMODnet Chemistry,Pesticides and biocides - Hexachlorobenzene (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/HexachlorobenzeneCountsAllYears_and_Data_2024.rar
14097,EMODnet Chemistry,Monitored Matrices All Years,Contaminants,Monitored Matrices,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map1_Monitored_Matrices/v2024/MonitoredMatricesAllYears_and_Data_2024.rar
13154,EMODnet Chemistry,Contaminants Monitored Matrices,Contaminants,Monitored Matrices,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map1_Monitored_Matrices/v2024/MonitoredMatricesPerYear_and_Data_2024.rar
10553,EMODnet Chemistry,Acidity: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10554,EMODnet Chemistry,Antifoulants: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10555,EMODnet Chemistry,Chlorophyll: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10556,EMODnet Chemistry,Dissolved gases: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10557,EMODnet Chemistry,Fertilisers: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10558,EMODnet Chemistry,Heavy metals: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10559,EMODnet Chemistry,Hydrocarbons: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10560,EMODnet Chemistry,Marine litter: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10561,EMODnet Chemistry,Organic matter: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10562,EMODnet Chemistry,Pesticides and biocides: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10564,EMODnet Chemistry,Polychlorinated biphenyls: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10565,EMODnet Chemistry,Radionuclides: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
10566,EMODnet Chemistry,Silicates: distribution of CDIs,Distribution of observations (CDI records) per data category (P36) and MSFD sea regions,,
13428,EMODnet Chemistry,Deepest values of Water body ammonium,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_ammonium.nc
13432,EMODnet Chemistry,Deepest values of Water body chlorophyll-a,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_chlorophyll-a.nc
13437,EMODnet Chemistry,Deepest values of Water body dissolved inorganic nitrogen (DIN),Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_dissolved_inorganic_nitrogen.nc
13439,EMODnet Chemistry,Deepest values of Water body dissolved oxygen concentration,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_dissolved_oxygen_concentration.nc
13444,EMODnet Chemistry,Deepest values of Water body phosphate,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_phosphate.nc
13448,EMODnet Chemistry,Deepest values of Water body silicate,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_silicate.nc
13429,EMODnet Chemistry,Relative error of Water body ammonium,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_ammonium.nc
13433,EMODnet Chemistry,Relative error of Water body chlorophyll-a,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_chlorophyll-a.nc
13436,EMODnet Chemistry,Relative error of Water body dissolved inorganic nitrogen (DIN),Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_dissolved_inorganic_nitrogen.nc
13441,EMODnet Chemistry,Relative error of Water body dissolved oxygen concentration,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_dissolved_oxygen_concentration.nc
13445,EMODnet Chemistry,Relative error of Water body phosphate,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_phosphate.nc
13449,EMODnet Chemistry,Relative error of Water body silicate,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_silicate.nc
13427,EMODnet Chemistry,Water body ammonium masked using relative error threshold 0.3,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_ammonium.nc
13426,EMODnet Chemistry,Water body ammonium masked using relative error threshold 0.5,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_ammonium.nc
13431,EMODnet Chemistry,Water body chlorophyll-a masked using relative error threshold 0.3,Eutrophication (all European seas),,https://ec.oceanbrowser.net/data/emodnet-domains/All_European_Seas/Water_body_chlorophyll-a.nc
